check | https://cs.brown.edu/courses/csci1380/sandbox/1 3 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 2 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/index.html 2
check stuff | https://cs.brown.edu/courses/csci1380/sandbox/1 3 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 2 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/index.html 2
check stuff level | https://cs.brown.edu/courses/csci1380/sandbox/1 3 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 2
level | https://cs.brown.edu/courses/csci1380/sandbox/1 3 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 2
level check | https://cs.brown.edu/courses/csci1380/sandbox/1 2 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 1
level check stuff | https://cs.brown.edu/courses/csci1380/sandbox/1 2 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 1
level right | https://cs.brown.edu/courses/csci1380/sandbox/1 2 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 2
link | https://cs.brown.edu/courses/csci1380/sandbox/1 1 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/index.html 1
link check | https://cs.brown.edu/courses/csci1380/sandbox/1 1 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/index.html 1
link check stuff | https://cs.brown.edu/courses/csci1380/sandbox/1 1 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/index.html 1
right | https://cs.brown.edu/courses/csci1380/sandbox/1 3 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 3 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/index.html 3
simpl | https://cs.brown.edu/courses/csci1380/sandbox/1 1 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/index.html 1
simpl link | https://cs.brown.edu/courses/csci1380/sandbox/1 1 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/index.html 1
simpl link check | https://cs.brown.edu/courses/csci1380/sandbox/1 1 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 1 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/index.html 1
stuff | https://cs.brown.edu/courses/csci1380/sandbox/1 3 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 2 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/index.html 2
stuff level | https://cs.brown.edu/courses/csci1380/sandbox/1 3 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 2
stuff level check | https://cs.brown.edu/courses/csci1380/sandbox/1 2 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 1
stuff level right | https://cs.brown.edu/courses/csci1380/sandbox/1 1 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 1
check stuff check | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/index.html 1
check stuff right | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/index.html 1
stuff check | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/index.html 1
stuff check stuff | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/index.html 1
stuff right | https://cs.brown.edu/courses/csci1380/sandbox/1/level_1b/index.html 2
